,,,PLANTA BAJA / GROUND FLOOR,,,,,,,,,,,,,
Apartamento / Unit,Tipología / Typo,Etapa / Phase,Habitaciones / Bedrooms,Baños / Baths,Vistas / Views,Característica / Feature,,m2    Interior    sqft,,m2     Terraza / Terrace    sqft,,Total,,Jardin / Garden,Precio / Price,Status
313,T1,2,1+,2,Lago / Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,"$482,900",
314,T1A,2,1 +,2,Lago / Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,"$482,900",
315,T1,2,1 +,2,Lago / Lake,Family Room,,89.09,959.00,18.02,194.00,107.11,"1,153.00",,,BLOQUEADA
316,T2,2,2,2.5,Lago / Lake,-,,112.50,"1,211.00",18.02,194.00,130.52,"1,405.00",,,RESERVADA
317,T2,2,2,2.5,Lago / Lake,-,,112.50,"1,211.00",21.65,233.00,134.15,"1,444.00",,,RESERVADA
318,T1,2,1 +,2,Lago / Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,,RESERVADA
319,T1A,2,1+,2,Lago / Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,,RESERVADA
320,T1,2,1 +,2,Lago / Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,"$482,900",
321,T6A,2,1 +,1.5,Golf,-,,58.53,630.00,21.74,234.00,80.27,864.00,,,RESERVADA
322,T5,2,1 +,2,Golf,Lock-off,,88.63,954.00,20.72,223.00,109.34,"1,177.00",,"$490,600",
323,T8,2,2,2.5,Golf,-,,102.84,"1,107.00",19.32,208.00,122.16,"1,315.00",,"$507,100",
324,T8,2,2,2.5,Golf,-,,102.84,"1,107.00",19.32,208.00,122.16,"1,315.00",,"$507,100",
325,T6,2,1,1.5,Golf,-,,58.81,633.00,21.65,233.00,80.45,866.00,,,RESERVADA
326,T6A,2,1,1.5,Golf,-,,58.53,630.00,11.98,129.00,70.51,759.00,,,RESERVADA
327,T5,2,1 +,2,Golf,Lock-off,,88.63,954.00,20.35,219.00,108.97,"1,173.00",,"$490,600",
328,T7,2,1+,2,Golf,Family Room,,84.26,907.00,23.69,255.00,107.95,"1,162.00",,"$423,000",BLOQUEADA
,,,4TO NIVEL / 4TH FLOOR,,,,,,,,,,,,,
Apartamento / Unit,Tipología / Typo,Etapa / Phase,Habitaciones / Bedrooms,Baños / Baths,Vistas / Views,Característica / Feature,,m2    Interior    sqft,,m2     Terraza / Terrace    sqft,,Total,,,Precio / Price,Status
412,T1A,2,1 +,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.32,208.00,108.41,"1,167.00",,"$487,300",
413,T1,2,1 +,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.32,208.00,108.41,"1,167.00",,"$443,000",RESERVADA
414,T1A,2,1+,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.32,208.00,108.41,"1,167.00",,"$487,300",BLOQUEADA
415,T1,2,1 +,2,Mar Y Lago / Ocean and Lake,Family Room,,89.09,959.00,19.23,207.00,108.32,"1,166.00",,,RESERVADO
416,T2,2,2,2.5,Mar Y Lago / Ocean and Lake,-,,112.50,"1,211.00",25.08,270.00,137.58,"1,481.00",,,RESERVADO
